name	m	weight	oil
by815_z58	Z58/BY815	0.43	6.186
by815_z58	Z58/BY815	0.42	6.061
by815_z58	Z58/BY815	0.42	6.148
by815_z58	Z58/BY815	0.42	6.353
by815_z58	Z58/BY815	0.41	5.948
by815_z58	Z58/BY815	0.41	6.559
by815_z58	Z58/BY815	0.4	6.494
by815_z58	Z58/BY815	0.39	6.08
by815_z58	Z58/BY815	0.38	6.168
by815_z58	Z58/BY815	0.37	10.942
mo17_by815	M017/BY815	0.36	5.781
mo17_by815	M017/BY815	0.34	5.975
mo17_by815	M017/BY815	0.34	5.991
mo17_by815	M017/BY815	0.34	6.53
mo17_by815	M017/BY815	0.34	6.821
mo17_by815	M017/BY815	0.33	5.981
mo17_by815	M017/BY815	0.33	6.343
mo17_by815	M017/BY815	0.32	5.478
mo17_by815	M017/BY815	0.32	5.682
mo17_by815	M017/BY815	0.32	6.099
mo17_by815	M017/BY815	0.32	6.161
mo17_by815	M017/BY815	0.32	6.201
mo17_by815	M017/BY815	0.32	6.305
mo17_by815	M017/BY815	0.31	5.119
mo17_by815	M017/BY815	0.31	5.239
mo17_by815	M017/BY815	0.31	5.25
mo17_by815	M017/BY815	0.31	5.714
mo17_by815	M017/BY815	0.31	5.72
mo17_by815	M017/BY815	0.31	5.756
mo17_by815	M017/BY815	0.31	6.521
mo17_by815	M017/BY815	0.3	5.032
mo17_by815	M017/BY815	0.3	5.067
mo17_by815	M017/BY815	0.3	5.65
mo17_by815	M017/BY815	0.3	6.237
mo17_by815	M017/BY815	0.29	5.512
mo17_by815	M017/BY815	0.29	5.643
mo17_by815	M017/BY815	0.29	6.014
mo17_by815	M017/BY815	0.29	6.139
mo17_by815	M017/BY815	0.29	6.156
mo17_by815	M017/BY815	0.29	6.169
mo17_by815	M017/BY815	0.29	6.629
mo17_by815	M017/BY815	0.28	5.147
mo17_by815	M017/BY815	0.28	5.293
mo17_by815	M017/BY815	0.28	5.305
mo17_by815	M017/BY815	0.28	5.364
mo17_by815	M017/BY815	0.28	5.405
mo17_by815	M017/BY815	0.28	6.16
mo17_by815	M017/BY815	0.27	5.753
mo17_by815	M017/BY815	0.27	5.784
mo17_by815	M017/BY815	0.27	5.98
mo17_by815	M017/BY815	0.26	5.027
mo17_by815	M017/BY815	0.26	5.342
mo17_by815	M017/BY815	0.26	5.482
mo17_by815	M017/BY815	0.26	5.602
mo17_by815	M017/BY815	0.26	5.649
mo17_by815	M017/BY815	0.26	5.961
mo17_by815	M017/BY815	0.26	6.049
mo17_by815	M017/BY815	0.26	6.363
mo17_by815	M017/BY815	0.26	6.945
mo17_by815	M017/BY815	0.25	5.205
mo17_by815	M017/BY815	0.25	5.593
mo17_by815	M017/BY815	0.24	2.839
mo17_by815	M017/BY815	0.24	4.16
mo17_by815	M017/BY815	0.24	5.76
mo17_by815	M017/BY815	0.24	7.476
mo17_by815	M017/BY815	0.23	4.413
mo17_by815	M017/BY815	0.23	5.56
mo17_by815	M017/BY815	0.23	6.555
mo17_by815	M017/BY815	0.22	4.149
mo17_by815	M017/BY815	0.21	3.39
mo17_by815	M017/BY815	0.21	5.639
z58_by815	Z58/BY815	0.39	3.889
z58_by815	Z58/BY815	0.39	4.601
z58_by815	Z58/BY815	0.38	3.63
z58_by815	Z58/BY815	0.36	5.966
z58_by815	Z58/BY815	0.35	4.449
z58_by815	Z58/BY815	0.35	4.9
z58_by815	Z58/BY815	0.35	5.535
z58_by815	Z58/BY815	0.34	4.883
z58_by815	Z58/BY815	0.34	5.057
z58_by815	Z58/BY815	0.34	5.223
z58_by815	Z58/BY815	0.33	4.265
z58_by815	Z58/BY815	0.33	5.185
z58_by815	Z58/BY815	0.33	5.464
z58_by815	Z58/BY815	0.33	5.473
z58_by815	Z58/BY815	0.33	5.626
z58_by815	Z58/BY815	0.33	5.652
z58_by815	Z58/BY815	0.33	5.732
z58_by815	Z58/BY815	0.33	5.87
z58_by815	Z58/BY815	0.33	6.343
z58_by815	Z58/BY815	0.33	6.606
z58_by815	Z58/BY815	0.33	6.608
z58_by815	Z58/BY815	0.33	6.67
z58_by815	Z58/BY815	0.33	7.558
z58_by815	Z58/BY815	0.32	4.39
z58_by815	Z58/BY815	0.32	5.408
z58_by815	Z58/BY815	0.32	5.707
z58_by815	Z58/BY815	0.32	5.799
z58_by815	Z58/BY815	0.32	6.14
z58_by815	Z58/BY815	0.32	6.477
z58_by815	Z58/BY815	0.31	5.051
z58_by815	Z58/BY815	0.31	5.359
z58_by815	Z58/BY815	0.31	5.569
z58_by815	Z58/BY815	0.31	5.576
z58_by815	Z58/BY815	0.31	5.69
z58_by815	Z58/BY815	0.31	6.019
z58_by815	Z58/BY815	0.31	6.351
z58_by815	Z58/BY815	0.31	6.468
z58_by815	Z58/BY815	0.31	6.523
z58_by815	Z58/BY815	0.31	6.57
z58_by815	Z58/BY815	0.31	6.711
z58_by815	Z58/BY815	0.31	7.039
z58_by815	Z58/BY815	0.3	4.251
z58_by815	Z58/BY815	0.3	5.431
z58_by815	Z58/BY815	0.3	5.443
z58_by815	Z58/BY815	0.3	6.528
z58_by815	Z58/BY815	0.3	6.666
z58_by815	Z58/BY815	0.3	6.986
z58_by815	Z58/BY815	0.3	7.187
z58_by815	Z58/BY815	0.3	8.122
z58_by815	Z58/BY815	0.29	5.841
z58_by815	Z58/BY815	0.29	5.999
z58_by815	Z58/BY815	0.29	6.121
z58_by815	Z58/BY815	0.28	4.914
z58_by815	Z58/BY815	0.28	6.09
z58_by815	Z58/BY815	0.27	6.466
