"oil" "HCR" "FDR" "HMR" "Material"
"173" 1.73 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"174" 1.74 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"175" 1.75 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"176" 1.76 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"177" 1.77 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"178" 1.78 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"179" 1.79 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"180" 1.8 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"181" 1.81 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"182" 1.82 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"183" 1.83 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"184" 1.84 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"185" 1.85 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"186" 1.86 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"187" 1.87 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"188" 1.88 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"189" 1.89 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"190" 1.9 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"191" 1.91 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"192" 1.92 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"193" 1.93 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"194" 1.94 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"195" 1.95 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"196" 1.96 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"197" 1.97 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"198" 1.98 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"199" 1.99 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"200" 2 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"201" 2.01 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"202" 2.02 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"203" 2.03 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"204" 2.04 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"205" 2.05 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"206" 2.06 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"207" 2.07 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"208" 2.08 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"209" 2.09 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"210" 2.1 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"211" 2.11 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"212" 2.12 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"213" 2.13 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"214" 2.14 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"215" 2.15 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
"216" 2.16 0.511627906976744 NA 1 "GY923/BY815/CHOI4"
