name	male	female	group	type	weight	oil
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.31	4.564
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.562
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	4.555
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.549
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.6	4.535
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.523
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.511
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.495
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.495
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.494
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.457
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.439
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.44	4.435
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.434
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.418
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.416
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.415
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.407
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.41	4.406
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.405
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.77	4.386
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.372
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.31	4.359
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.345
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.336
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.333
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	4.332
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.33
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.327
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	4.327
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	4.325
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.323
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.31	4.32
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.44	4.307
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.305
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.304
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	4.299
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.43	4.252
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.243
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.224
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.219
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.218
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.216
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.27	4.212
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.209
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	4.205
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.28	4.201
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.189
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.24	4.168
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.16
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.156
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.154
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.146
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.118
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	4.111
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.1
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.65	4.095
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.093
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.056
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.039
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.036
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	4.032
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	4.025
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.02
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.013
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.008
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.999
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	3.996
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	3.993
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.98
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	3.978
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.968
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	3.934
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.92
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	3.905
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.892
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	3.887
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.855
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	3.851
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.3	3.85
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.848
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	3.844
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.823
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	3.814
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.811
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	3.777
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	3.739
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.31	3.731
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	3.73
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.68
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	3.678
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	3.677
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	3.662
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.41	3.641
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.639
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.637
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	3.62
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	3.612
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.3	3.609
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.561
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.557
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.41	3.463
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	3.448
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	3.448
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.29	3.432
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.403
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	3.399
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	3.379
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	3.352
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.35
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.339
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.3	3.339
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.331
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.42	3.328
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	3.294
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	3.288
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	3.285
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.27	3.255
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	3.177
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	3.169
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.3	3.136
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	2.987
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.28	2.939
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.3	2.855
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	2.5
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.26	2.197
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.38	7.577
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.35	7.488
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.35	7.439
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.46	7.432
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.42	7.261
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.42	7.231
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.39	7.208
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.35	7.205
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	7.152
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.38	7.149
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.45	7.097
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.43	7.086
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	7.076
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.45	7.058
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.41	7.026
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.41	6.98
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.34	6.95
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.41	6.931
958H4-2ER	CHOI4	ZD958	ZD958/CHOI4	C	0.44	6.92
